time,open,high,low,close,tick_volume,spread,real_volume
2025-01-21 20:40:00,3357.61,3361.99,3350.99,3354.39,503,1,0
2025-01-21 20:45:00,3354.39,3356.26,3344.61,3349.01,439,1,0
2025-01-21 20:50:00,3349.01,3353.67,3345.0,3345.95,349,1,0
2025-01-21 20:55:00,3345.95,3349.99,3342.64,3345.75,251,1,0
2025-01-21 21:00:00,3345.75,3346.62,3337.55,3340.76,306,1,0
2025-01-21 21:05:00,3340.76,3342.99,3328.0,3336.44,392,1,0
2025-01-21 21:10:00,3336.44,3336.96,3324.49,3325.22,372,1,0
2025-01-21 21:15:00,3325.22,3334.65,3325.01,3326.57,331,1,0
2025-01-21 21:20:00,3326.57,3331.54,3318.34,3331.22,370,1,0
2025-01-21 21:25:00,3331.22,3333.09,3326.73,3328.28,217,1,0
2025-01-21 21:30:00,3328.28,3328.28,3321.34,3322.62,253,1,0
2025-01-21 21:35:00,3322.62,3325.7,3318.2,3323.36,250,1,0
2025-01-21 21:40:00,3323.36,3327.33,3320.8,3326.27,203,1,0
2025-01-21 21:45:00,3326.19,3332.02,3325.67,3331.96,222,1,0
2025-01-21 21:50:00,3331.96,3337.51,3329.85,3330.99,237,1,0
2025-01-21 21:55:00,3330.99,3333.51,3329.92,3332.16,208,1,0
2025-01-21 22:00:00,3332.16,3339.48,3331.58,3334.67,282,1,0
2025-01-21 22:05:00,3334.67,3337.7,3328.45,3328.45,288,1,0
2025-01-21 22:10:00,3328.37,3333.99,3328.08,3328.77,243,1,0
2025-01-21 22:15:00,3328.77,3330.41,3323.2,3325.36,315,1,0
2025-01-21 22:20:00,3325.36,3330.28,3325.36,3326.1,264,1,0
2025-01-21 22:25:00,3326.1,3329.68,3323.29,3323.51,203,1,0
2025-01-21 22:30:00,3323.51,3324.13,3310.0,3316.36,372,1,0
2025-01-21 22:35:00,3316.36,3320.39,3309.93,3317.5,381,1,0
2025-01-21 22:40:00,3317.49,3319.51,3305.86,3307.28,297,1,0
2025-01-21 22:45:00,3307.28,3310.86,3304.0,3308.99,333,1,0
2025-01-21 22:50:00,3308.99,3313.21,3305.59,3310.54,232,1,0
2025-01-21 22:55:00,3310.54,3317.41,3306.23,3313.76,333,1,0
2025-01-21 23:00:00,3314.39,3314.99,3307.3,3313.44,322,1,0
2025-01-21 23:05:00,3313.44,3313.94,3302.03,3309.0,306,1,0
2025-01-21 23:10:00,3309.0,3311.57,3306.51,3309.42,197,1,0
2025-01-21 23:15:00,3309.42,3313.33,3307.0,3312.62,283,1,0
2025-01-21 23:20:00,3312.62,3312.96,3305.14,3307.5,229,1,0
2025-01-21 23:25:00,3307.5,3315.0,3307.5,3312.29,162,1,0
2025-01-21 23:30:00,3312.29,3323.64,3311.31,3322.92,260,1,0
2025-01-21 23:35:00,3322.92,3322.92,3317.72,3319.22,129,1,0
2025-01-21 23:40:00,3319.22,3329.67,3318.94,3329.61,239,1,0
2025-01-21 23:45:00,3329.99,3336.49,3329.51,3329.69,224,1,0
2025-01-21 23:50:00,3329.69,3332.99,3328.71,3329.29,137,1,0
2025-01-21 23:55:00,3329.29,3334.7,3329.29,3331.9,167,1,0
2025-01-22 00:00:00,3331.9,3336.35,3329.61,3334.31,186,1,0
2025-01-22 00:05:00,3334.31,3336.56,3326.7,3330.46,209,1,0
2025-01-22 00:10:00,3330.46,3330.46,3327.38,3327.9,107,1,0
2025-01-22 00:15:00,3327.9,3332.1,3327.56,3330.66,141,1,0
2025-01-22 00:20:00,3330.66,3336.99,3330.21,3334.9,103,1,0
2025-01-22 00:25:00,3334.9,3337.8,3333.9,3337.8,73,1,0
2025-01-22 00:30:00,3337.8,3337.8,3328.71,3335.07,157,1,0
2025-01-22 00:35:00,3335.07,3339.99,3333.92,3337.51,136,1,0
2025-01-22 00:40:00,3337.51,3337.76,3333.99,3333.99,67,1,0
